Node,ID
http://www.ebi.ac.uk/efo/EFO_0000479,EFO_0000479
http://www.ebi.ac.uk/efo/EFO_0000489,EFO_0000489
http://www.ebi.ac.uk/efo/EFO_0000495,EFO_0000495
http://www.ebi.ac.uk/efo/EFO_0000497,EFO_0000497
http://www.ebi.ac.uk/efo/EFO_0000499,EFO_0000499
http://www.ebi.ac.uk/efo/EFO_0000500,EFO_0000500
http://www.ebi.ac.uk/efo/EFO_0000501,EFO_0000501
http://www.ebi.ac.uk/efo/EFO_0000502,EFO_0000502
http://www.ebi.ac.uk/efo/EFO_0000503,EFO_0000503
http://www.ebi.ac.uk/efo/EFO_0000504,EFO_0000504
http://www.ebi.ac.uk/efo/EFO_0000508,EFO_0000508
http://www.ebi.ac.uk/efo/EFO_0000512,EFO_0000512
http://www.ebi.ac.uk/efo/EFO_0000514,EFO_0000514
http://www.ebi.ac.uk/efo/EFO_0000519,EFO_0000519
http://www.ebi.ac.uk/efo/EFO_0000524,EFO_0000524
http://www.ebi.ac.uk/efo/EFO_0000536,EFO_0000536
http://www.ebi.ac.uk/efo/EFO_0000537,EFO_0000537
http://www.ebi.ac.uk/efo/EFO_0000538,EFO_0000538
http://www.ebi.ac.uk/efo/EFO_0000540,EFO_0000540
http://www.ebi.ac.uk/efo/EFO_0000545,EFO_0000545
http://www.ebi.ac.uk/efo/EFO_0000546,EFO_0000546
http://www.ebi.ac.uk/efo/EFO_0000549,EFO_0000549
http://www.ebi.ac.uk/efo/EFO_0000551,EFO_0000551
http://www.ebi.ac.uk/efo/EFO_0000552,EFO_0000552
http://www.ebi.ac.uk/efo/EFO_0000553,EFO_0000553
http://www.ebi.ac.uk/efo/EFO_0000555,EFO_0000555
http://www.ebi.ac.uk/efo/EFO_0000557,EFO_0000557
http://www.ebi.ac.uk/efo/EFO_0000558,EFO_0000558
http://www.ebi.ac.uk/efo/EFO_0000559,EFO_0000559
http://www.ebi.ac.uk/efo/EFO_0000563,EFO_0000563
http://www.ebi.ac.uk/efo/EFO_0000564,EFO_0000564
http://www.ebi.ac.uk/efo/EFO_0000565,EFO_0000565
http://www.ebi.ac.uk/efo/EFO_0000569,EFO_0000569
http://www.ebi.ac.uk/efo/EFO_0000571,EFO_0000571
http://www.ebi.ac.uk/efo/EFO_0000574,EFO_0000574
http://www.ebi.ac.uk/efo/EFO_0000580,EFO_0000580
http://www.ebi.ac.uk/efo/EFO_0000584,EFO_0000584
http://www.ebi.ac.uk/efo/EFO_0000588,EFO_0000588
http://www.ebi.ac.uk/efo/EFO_0000589,EFO_0000589
